NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,경기도 수원시 영통구 망포동,488,488,0,늘푸른벽산,59.884,202605,30,43500,-,4,개인,개인,2000,영통로90번길 4-27,-,중개거래,경기 수원시 영통구,-
2,경기도 수원시 영통구 이의동,1182,1182,0,광교대광로제비앙,84.6489,202605,29,67000,-,1,개인,개인,2012,웰빙타운로 106,-,중개거래,경기 수원시 영통구,-
3,경기도 수원시 영통구 영통동,972-2,972,2,벽적골주공휴먼시아8단지,49.59,202605,29,34400,-,8,개인,개인,1997,영통로290번길 26,-,중개거래,경기 수원시 영통구,-
4,경기도 수원시 영통구 망포동,766,766,0,영통아이파크캐슬1단지,84.69,202605,29,109250,-,9,개인,개인,2019,덕영대로 1410,-,중개거래,경기 수원시 영통구,-
5,경기도 수원시 영통구 영통동,963-2,963,2,신나무실신안,59.965,202605,28,45000,-,3,개인,개인,1997,매영로310번길 12,-,중개거래,경기 수원시 영통구,-
6,경기도 수원시 영통구 영통동,948-4,948,4,영통센트럴파크뷰,59.99,202605,28,50500,-,9,개인,개인,1999,영통로514번길 53,-,중개거래,경기 수원시 영통구,-
7,경기도 수원시 영통구 원천동,604,604,0,광교더샵,91.3754,202605,28,138400,-,40,개인,개인,2018,광교호수로 15,-,중개거래,경기 수원시 영통구,-
8,경기도 수원시 영통구 원천동,606,606,0,광교호반베르디움,59.9306,202605,28,111500,-,15,개인,개인,2014,광교호수공원로 45,-,중개거래,경기 수원시 영통구,-
9,경기도 수원시 영통구 영통동,973-3,973,3,벽적골한신,59.84,202605,28,47000,-,15,개인,개인,1997,영통로 232,-,중개거래,경기 수원시 영통구,-
10,경기도 수원시 영통구 망포동,488,488,0,늘푸른벽산,59.884,202605,28,46000,-,9,개인,개인,2000,영통로90번길 4-27,-,중개거래,경기 수원시 영통구,-
11,경기도 수원시 영통구 영통동,972-2,972,2,벽적골주공휴먼시아8단지,49.59,202605,27,30200,-,1,개인,개인,1997,영통로290번길 26,-,중개거래,경기 수원시 영통구,-
12,경기도 수원시 영통구 영통동,973-3,973,3,벽적골한신,59.84,202605,27,47000,-,6,개인,개인,1997,영통로 232,-,중개거래,경기 수원시 영통구,-
13,경기도 수원시 영통구 영통동,988-2,988,2,살구골마을진덕서광성지동아,134.88,202605,27,95000,-,4,개인,법인,1998,봉영로 1526,-,중개거래,경기 수원시 영통구,-
